"etiqueta_partida","aclaracion_partida"
"Pensiones no contributivas por invalidez","Pensiones no Contributivas por invalidez (23 - Pensiones no Contributivas por Invalidez Laborativa)"
"Pensiones no contributivas por vejez","Pensiones no contributivas por vejez (31 - Pensiones No Contributivas"
"Pensiones no contributivas para madres de 7 o más hijos","Pensiones no contributivas Madres con 7 o mas hijos (31 - Pensiones No Contributivas"
"Pensión universal para el adulto mayor","30 - Pension Universal para el Adulto Mayor"
"Prestaciones previsionales por moratoria previsional","Prestaciones previsionales por moratoria previsional (16 - Prestaciones previsionales)"
"Políticas alimentarias","26 - Politicas Alimentarias (26 - Seguridad Alimentaria) (no incluye Prestación Alimentar a partir del 11/2021)"
"Proyectos productivos comunitarios","50 - Proyectos Productivos Comunitarios"
"Apoyo al empleo","38 - Acciones de Pg Nac de Inclusion Socio-Productiva y Desarrollo Local - Potenciar Trabajo (38 - Apoyo al Empleo) (38 - Programa del Ingreso Social con Trabajo, 38 - Acciones del Programa de Ingreso Social con Trabajo)"
"Abordaje territorial","20 - Abordaje Territorial (20 - Acciones de Promocion y Proteccion Social)"
"Economía social","24 - Economia Social (24 - Promocion del Empleo Social, Economia Social y Desarrollo Local)"
"Asistencia a la actividad cooperativa y mutual","16 - Asistencia a la Actividad Cooperativa y Mutual"
"Plan nacional de protección social","54 - Plan Nacional de Proteccion Social"
"Programa social agropecuario","39 - Formulacion de Politicas para la Agricultura Familiar y Desarrollo Productivo (39 - Politicas para la Agricultura Familiar) (39 - Programa Social Agropecuario)"
"Formulación de políticas de desarrollo rural","40 - Formulacion de Politicas de Desarrollo Regional (40 - Formulacion de Politicas de Desarrollo Rural)"
"Integración socio urbana","53 - Integracion Socio Urbana"
"Monotributo social","Monotributo Social (28 - Inclusión Social, 2015-2016)"
"Programa de empleo comunitario","Programa de empleo comunitario (PEC) (16 - Acciones de empleo)"
"Acciones de empleo","16 - Acciones de Empleo (no incluye Jefes de Hogar ni Programa de Empleo Comunitario)"
"Acciones de capacitación laboral","23 - Acciones de Capacitacion Laboral"
"Asistencia al trabajo, empleo y producción","99 - (ATP) Transferencias y Contribuciones a la Seguridad Social y Organismos Descentralizados"
"Programa de respaldo a estudiantes de Argentina","49 - Gestión y Asignación de Becas a Estudiantes (solo incluye Becas Progresar) (29 - Programa de Respaldo a Estudiantes de Argentina - PROGRESAR)"
"Asignaciones familiares","19 - Asignaciones Familiares(no incluye activos, pasivos ni sector público)"
"Inclusión social","28 - Familias por la Inclusion Social (28 - Inclusion Social, 28 - Inclusion Social y Fortalecimiento Infantil) (28- Atencion a Grupos Vulnerables) (sin monotributo social para 2015 y 2016)"
"Ingreso familiar de emergencia","99 - (IFE) Transferencias y Contribuciones a la Seguridad Social y Organismos Descentralizados"
"Prestación Alimentar","Prestación Alimentar a partir de su unificación con AUH 11/2021 (26 - Políticas Alimentarias)"
"Jefes de hogar","Jefes de Hogar (16 - Acciones de empleo)"
