"anio","ejecucion_presupuestaria_total_millones_pesos_corrientes"
"2002","45064.822"
"2003","56804.59553"
"2004","64275.34887"
"2005","86839.23964"
"2006","105892.9446"
"2007","142421.0847"
"2008","192974.1449"
"2009","249914.0921"
"2010","329034.1596"
"2011","450548.2364"
"2012","561832.951"
"2013","750934.9129"
"2014","1134364.215"
"2015","1431662.127"
"2016","2131113.256"
"2017","2564004.561"
"2018","3298979.473"
"2019","4762089.42"
"2020","7001429.329"
"2021","10763163.93"
"2022","17527870.16"
